"variable","paired_N","paired_mean","paired_stdev","paired_P25","paired_P50","paired_P75","paired_normalised_mean","paired_normalised_stdev","paired_normalised_P25","paired_normalised_P50","paired_normalised_P75","AIM_N","AIM_mean","AIM_sd","AIM_P25","AIM_P50","AIM_P75","AIM_normalised_mean","AIM_normalised_sd","AIM_normalised_P25","AIM_normalised_P50","AIM_normalised_P75","GCAM_N","GCAM_mean","GCAM_sd","GCAM_P25","GCAM_P50","GCAM_P75","GCAM_normalised_mean","GCAM_normalised_sd","GCAM_normalised_P25","GCAM_normalised_P50","GCAM_normalised_P75","GEM.E3_N","GEM.E3_mean","GEM.E3_sd","GEM.E3_P25","GEM.E3_P50","GEM.E3_P75","GEM.E3_normalised_mean","GEM.E3_normalised_sd","GEM.E3_normalised_P25","GEM.E3_normalised_P50","GEM.E3_normalised_P75","IMAGE_N","IMAGE_mean","IMAGE_sd","IMAGE_P25","IMAGE_P50","IMAGE_P75","IMAGE_normalised_mean","IMAGE_normalised_sd","IMAGE_normalised_P25","IMAGE_normalised_P50","IMAGE_normalised_P75","MESSAGE_N","MESSAGE_mean","MESSAGE_sd","MESSAGE_P25","MESSAGE_P50","MESSAGE_P75","MESSAGE_normalised_mean","MESSAGE_normalised_sd","MESSAGE_normalised_P25","MESSAGE_normalised_P50","MESSAGE_normalised_P75","POLES_N","POLES_mean","POLES_sd","POLES_P25","POLES_P50","POLES_P75","POLES_normalised_mean","POLES_normalised_sd","POLES_normalised_P25","POLES_normalised_P50","POLES_normalised_P75","REMIND_N","REMIND_mean","REMIND_sd","REMIND_P25","REMIND_P50","REMIND_P75","REMIND_normalised_mean","REMIND_normalised_sd","REMIND_normalised_P25","REMIND_normalised_P50","REMIND_normalised_P75","TIAM.ECN_N","TIAM.ECN_mean","TIAM.ECN_sd","TIAM.ECN_P25","TIAM.ECN_P50","TIAM.ECN_P75","TIAM.ECN_normalised_mean","TIAM.ECN_normalised_sd","TIAM.ECN_normalised_P25","TIAM.ECN_normalised_P50","TIAM.ECN_normalised_P75","WITCH_N","WITCH_mean","WITCH_sd","WITCH_P25","WITCH_P50","WITCH_P75","WITCH_normalised_mean","WITCH_normalised_sd","WITCH_normalised_P25","WITCH_normalised_P50","WITCH_normalised_P75"
"Emissions|CO2|Energy|Supply",367,7.64882681773002,2.55029116599061,5.93736996887179,7.0306716,9.038424075,7.66334095088101,1.69078011139589,6.325098993495,7.48278028027722,8.60324063476292,13,7.74333365,1.940661071122,6.46469365,7.6123226,8.9671132,8.14349486816961,0.985203805628691,8.14349486816961,8.70456870687894,9.95198651343928,15,6.68089781914329,0.830200646659381,6.53203139827178,6.63898738395139,7.36178183411425,9.20680662257352,0.885051500668461,9.20680662257352,9.72803885275275,9.89673811737109,18,6.35341249150559,1.10368303091813,5.50753683251372,6.36177493261059,7.16310165438175,5.41150174326595,0.293526451835296,5.41150174326595,5.60734761925872,5.72739461709788,28,10.7283147939912,2.79340600336977,8.68994919312001,10.5940929607153,12.7458881411552,9.19588668084603,1.68916835475263,9.19588668084603,10.4181791749924,11.4136443056923,84,6.90658629480872,1.28142720067772,6.0971367051283,6.64215358603955,7.27125519631015,6.59887633587082,1.08203305630423,6.59887633587082,7.00314543927514,7.69294211701506,41,8.3033126062627,1.96217581012525,6.85873913574219,7.60279019661457,9.4557119140625,7.90606552468387,0.773650034164922,7.90606552468387,8.30345088031004,8.58548299254085,115,8.20743677478261,3.19802469255577,5.483613375,8.81960025,10.3508209,6.32308319579226,1.78600601236865,6.32308319579226,7.32485702255742,8.63877526308176,6,7.08283830127227,0.272110793770559,6.88274711165563,7.05087722201794,7.27082326011627,5.84064146594953,0.0934791039607764,5.84064146594953,5.93223992992947,5.95117411723918,34,5.74803889525096,1.34729190326743,4.83904067714681,5.41468418057142,6.28209820994838,6.11464456421208,0.861956023776582,6.11464456421208,6.81112441086578,7.71051766997018
"Emissions|Industry|All",249,5.1661480087739,1.55502247760171,4.20444725,5.02000503871294,6.3726425,5.39518958372684,1.1271915541446,4.85340023709787,5.26291472172108,5.89997520590098,9,2.92133878333333,1.68411631443546,1.75620355,2.09746285,3.62982335,3.09576399443163,0.805803550719341,3.09576399443163,3.11554492653595,4.43464745399394,15,4.2989444808359,0.720164467076053,4.02950557708717,4.11378567878496,4.67817936568534,5.81489019294622,0.315176833042332,5.81489019294622,6.02085150267723,6.13519839405504,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,5.05715084874273,1.99944164223213,2.9318222762986,5.18449459342495,6.88780055518949,3.66744122775448,1.11711584331277,3.66744122775448,5.03397278749165,5.60457550063607,69,4.83543164640243,0.848280359292313,4.49667359756162,5.01182049944584,5.31779968906647,4.91910560147124,0.826884943168727,4.91910560147124,5.08182460303869,5.33661625642362,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,6.207018501,1.28723306922031,5.02832095,6.533310125,7.2542026375,5.02735196472913,1.09031271976959,5.02735196472913,5.8405333682436,6.58306450844916,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,3.82325545729573,1.0831426019826,2.94189524230561,3.82690299361759,4.35687934770704,3.59928299630241,0.839560069757239,3.59928299630241,5.11503688859061,5.23590668476895
"Emissions|Transport|All",291,2.36696711114251,0.932130393851406,1.644603637575,2.2559947376,3.04824782287368,2.48468228775862,0.841488085945372,1.76201974527471,2.45446160027584,3.12645156310288,9,1.71058247536667,0.542440922272885,1.33855015035,1.57061998725,2.01046313375,2.28480795936933,0.306781607476018,2.28480795936933,2.33099877583896,2.42704008940451,15,1.55027197322092,0.538675186563311,1.26521280947614,1.34415357239735,2.08258028253276,1.84517475971099,0.438031601665869,1.84517475971099,2.02343004576292,2.44747403706539,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2.37316472875165,1.06633274684415,1.40417173013651,2.6418733450894,3.06408680029428,1.713280573389,0.937747402448041,1.713280573389,2.20648241605436,3.0570005250557,70,3.23584233519844,0.975666054036245,2.83067956658931,3.27362702227928,3.68559239539637,3.01100770385176,0.565766555265557,3.01100770385176,3.66793306060869,3.87984343884974,31,2.71972311992205,0.497536435592975,2.33057646272278,2.59198788641357,3.08418205117798,2.69150065584804,0.390764685041488,2.69150065584804,2.89610053962488,3.16236966976456,100,2.0402692455105,0.643188424843437,1.5426862084875,2.0529223765,2.34644684995,1.5844589626727,0.483444658077567,1.5844589626727,1.89729309967774,2.22856446943307,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1.97675396199701,0.652133241445504,1.45983350897103,1.9132052883622,2.41008733242553,1.82038552983857,0.685743185209617,1.82038552983857,2.49877212909304,3.02201947107181
"Emissions|Land|All",325,2.21089278512737,1.37495033416277,1.11676434133414,2.09285053614037,3.4440978698,2.29399078938086,1.45666526527083,1.28244080784859,2.31199151623217,3.12642301341449,13,2.92312932790385,1.14386062961992,2.04611222695,2.3737566178,3.6405137312,3.3209383117878,0.483200930489531,3.3209383117878,3.46102432769636,3.51718720380153,15,1.07399838536341,1.27859504913377,0.517215792510625,0.628818555595072,0.800837468876518,0.874019128762754,1.16304886265244,0.874019128762754,0.935700744813339,1.05318621561334,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0.93156389630542,1.8878762544538,-0.605181604251689,0.811201065356554,2.16981122859057,-0.521340651383542,1.83675054213966,-0.521340651383542,0.685867702662204,2.15952635181147,77,1.94365931233625,0.729159134356968,1.44966079598986,2.03776253261905,2.43425620184705,1.48603698072873,0.516096289413735,1.48603698072873,2.06163980090528,2.45467247647112,36,1.09485142536998,0.807895526799067,0.728567035617175,0.811406835214316,0.85156818270154,0.750825581127497,0.580325352853801,0.750825581127497,0.937845533274234,1.09938410979648,109,3.09374287348028,1.23546963019187,2.21142669995,3.4570818653,3.8435468877,2.07399725424759,1.55987454933655,2.07399725424759,2.82069835775727,3.50570530338142,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,2.7763807047095,0.737959204683106,1.97773196938391,3.03099564282009,3.49096149628975,2.60073252319028,0.909457328605345,2.60073252319028,3.41481597784739,4.17825592237994
"Emissions|CO2|Energy|Demand|Residential and Commercial",331,1.09143335329588,0.377381147954264,0.769014675585938,1.08592255588666,1.38498785638785,1.09530067976962,0.31577425202266,0.874325147538452,1.08945384270319,1.31304295778447,6,0.962110016666667,0.434392971581236,0.7063634625,0.9493928,1.16595595,0.573873485903133,0.31085577638045,0.573873485903133,0.872404511317458,1.05603674196088,15,0.766236121242082,0.138927403679311,0.711560947679759,0.7288236985,0.918240290450942,1.05996202306903,0.10165027329149,1.05996202306903,1.06904238081611,1.14139179762253,18,1.37089564592437,0.308850061864994,1.17544835868205,1.38601494927214,1.58165494137064,1.14515079903894,0.0727968490443685,1.14515079903894,1.17448058895149,1.25130580379325,28,0.903458311080933,0.30373026859551,0.731336608886719,0.93946688079834,1.10918808174134,0.705255179215467,0.285682627059818,0.705255179215467,0.835402429838307,1.06625435706877,81,1.33740619058109,0.264602135406707,1.158494472157,1.39396852272689,1.51403643172235,1.27079167565924,0.244786441388661,1.27079167565924,1.41751938860594,1.46762960348907,36,0.663763652957492,0.191636841358402,0.537470062255859,0.624597396850586,0.749286605834961,0.62945297454612,0.141013785437614,0.62945297454612,0.672181296502415,0.72513999528865,106,1.11038752122642,0.357746434904583,0.8135572375,1.192551075,1.3626219125,0.904640167725869,0.183533990999395,0.904640167725869,0.981685877421205,1.12126692874973,6,0.960889962274184,0.124942130720028,0.876459842724299,0.945838938147632,1.02607452677965,0.748762008425174,0.0867467748847493,0.748762008425174,0.803800348967088,0.831520000558656,34,1.04597810480333,0.284592378160994,0.805645787305051,1.033065728377,1.23565515234881,1.02146609245094,0.28919623205438,1.02146609245094,1.14983297441171,1.55310582969864
"Secondary Energy|Electricity|Wind",376,3.3042200286941,2.55238155094727,1.48779335089509,2.67985471386202,4.63524293656234,3.30899102050838,2.39903593070955,1.54313929066325,2.83718871359361,4.73294570545531,13,3.04036559670739,1.33090928681254,2.51195450354569,2.81800998115147,3.15776665329708,2.90042320751921,1.197266918881,2.90042320751921,4.01817280441459,4.5094211617256,15,2.56426593535533,1.49393358278082,1.61268763655781,1.90199075147746,2.64190512339093,2.49489146271314,1.42537264575089,2.49489146271314,2.81272161107253,3.28453685642952,18,2.73621483691915,0.66952159533071,2.23620913516204,2.7019956701745,3.23317977618872,2.2141842888298,0.225376053648158,2.2141842888298,2.35280050188269,2.52408876123677,28,0.958353557346874,0.83222143022195,0.412605276504448,0.793063174258353,1.60517780263403,0.398722587332543,0.836284733200193,0.398722587332543,0.949504061588081,1.61717597672268,93,4.39036072082737,1.78533503557736,2.91757419296697,4.19706422265451,5.84051544414026,3.21231947500537,1.59049888526888,3.21231947500537,4.40513179435897,5.74281125835115,41,1.1332358078681,0.608000163196073,0.73851972324417,0.996254730830154,1.38940241676565,0.731239283312984,0.705318101388496,0.731239283312984,1.16843675498144,1.58603411735774,115,3.8072780982072,1.96588424547882,2.29039295514948,3.77361301500267,5.12265278628493,1.87143126013656,1.91150169492414,1.87143126013656,4.00628331922917,5.13908210039292,6,2.28423346709505,0.175848099949272,2.15058643412239,2.24853255134051,2.3789405232465,1.79457716356216,0.147638263179928,1.79457716356216,1.87674079776425,1.96988800314966,34,1.25003525652503,0.735189339233017,0.863541986979964,1.0978357632396,1.32477510497237,1.07804407827056,0.606473193507319,1.07804407827056,1.39362084349393,1.71403071373904
"Secondary Energy|Electricity|Solar",376,3.08014447690638,2.08680427861152,1.3064620412533,2.88416682278161,4.48070166981013,3.02433529691522,1.8145298443495,1.49474783002133,2.94016098745994,4.35578065598172,13,2.78746002780271,1.18215640845921,2.36552592942055,2.74868765938369,3.14817572451885,2.52340867293867,1.39358623305377,2.52340867293867,3.89364782966018,4.49467266194244,15,2.37315357886289,1.69935060071005,1.34815927826526,1.57784236202518,2.28733236062153,2.07323044323694,1.71753752828657,2.07323044323694,2.3585873097623,2.84371779380695,18,2.08394186211027,0.432593783622315,1.78245707983899,2.10113260074262,2.39196932751122,1.7013721486075,0.181459520618328,1.7013721486075,1.81619244192888,1.93528460215046,28,1.54694267144467,2.25875589032253,0.221008923570585,1.10448290545828,2.53302117522143,0.223430282691606,2.16003538621002,0.223430282691606,1.14518729056789,2.38507619444264,93,3.88017033317942,1.43609733485749,2.69577007279599,4.13277556714145,4.95573215611028,2.76650777544892,1.22744038269531,2.76650777544892,4.29748297888027,4.78711646581921,41,1.02435147575544,0.461498649918064,0.775610404537695,0.929949340474537,1.06104051178381,0.710266738207376,0.364039476511677,0.710266738207376,1.01320302484374,1.25884690770502,115,4.49995439307742,1.98992874790004,3.1710343702966,4.22925361575359,5.42741793346317,3.34718661479139,1.40977562501639,3.34718661479139,3.86723544868123,4.73253360703646,6,0.366766651539987,0.0924225389325797,0.305668448719031,0.358390588316647,0.437953684156052,0.261293565550142,0.0752169983482584,0.261293565550142,0.295771889951511,0.370826484282243,34,1.30324055069803,1.34372652183828,0.858244004784348,0.991468754808365,1.1864741109387,1.0870621916303,1.14189046848197,1.0870621916303,1.28007993344234,1.46038537902922
"Secondary Energy|Electricity|Nuclear",377,1.13850373684621,1.36542496038788,0.113677289226757,0.521519131548051,1.92583085487686,1.17903607978831,1.44516772160003,0.137064365722422,0.494161825477802,1.88910431365378,13,0.519170915736983,0.328537112484761,0.383107742189515,0.606643579115765,0.681589427158549,0.418626731000912,0.461006985237317,0.418626731000912,0.813853711464724,1.03740161382296,15,2.61374459510698,1.19994768137294,1.89562671731569,2.68508296850852,3.52675736777607,3.74010843455452,1.55471856951785,3.74010843455452,4.06916564374096,4.64240951304259,18,0.490389117447052,0.150641215551821,0.390551763185068,0.459762132418648,0.612770330813261,0.353236813456922,0.0821053376056795,0.353236813456922,0.421342440623826,0.483177955820425,28,0.903373295770697,0.670937755090545,0.329357126754521,0.72464165698754,1.43750454585625,0.285907820462042,0.639904685853301,0.285907820462042,0.841736756451137,1.46915897495922,93,2.77211154104571,1.34291381125973,1.7853053615157,2.90596222394849,3.71591670583735,1.84526389792481,1.3640292951247,1.84526389792481,2.82462169079996,3.49500406775531,41,0.884960511961119,0.949838042838372,0.0836212486696465,0.639909162991944,1.90356714962082,0.0562430757390798,1.05000687633062,0.0562430757390798,0.707532150182858,1.85422807578683,115,0.271586952930161,0.591410383993143,-0.0330554144696178,0.059449013784175,0.359294998030721,-0.0267574616134165,0.512478291916245,-0.0267574616134165,0.0784425889942129,0.352853288946324,6,0.429457551727737,0.058829104782233,0.37563247415468,0.42599659216328,0.469791647097477,0.319659376369445,0.0425964797632356,0.319659376369445,0.359528630882023,0.378013952976247,34,0.147332778895663,0.090737102389486,0.10535983026509,0.12703824729428,0.158176345360281,0.136144596803973,0.0764145609449011,0.136144596803973,0.155896650139621,0.193852416012932
"Secondary Energy|Electricity|Biomass|w/ CCS",364,0.797712773889007,0.98407568866518,0.151096284958664,0.380438298560569,1.09591918077017,0.842499290070312,1.05089017964174,0.155818708074502,0.41024611677229,1.11665917641766,11,2.07897300526988,0.900464807524228,1.26676707750797,1.99789962721861,2.72428541980557,1.76012953491231,1.20175174497965,1.76012953491231,2.06652389409169,3.72534529865002,15,2.04341939386538,0.709354087390208,1.5753736765565,2.20721381974769,2.58645612968338,3.05556038384062,0.994987172930358,3.05556038384062,3.3097974166744,3.49589107241754,18,0.592983277787907,0.194356606484446,0.410959241475452,0.623594188548207,0.721247591296176,0.412511865833631,0.120292858668549,0.412511865833631,0.475525703235036,0.639211432186277,28,2.2271986100312,1.52663213920109,0.976272163745685,1.96443806135102,3.56206995371215,0.879698190692124,1.26827117721934,0.879698190692124,2.05177764308551,3.25325366353975,83,0.198321208677568,0.122620261104347,0.11202458773669,0.15598139888776,0.243291162973288,0.118702423477606,0.13559821639471,0.118702423477606,0.170871832996608,0.275242193746482,41,0.638413081965735,0.937365321547631,0.147905435080975,0.184124970261978,0.227498214656526,0.145550275518778,1.07945098839463,0.145550275518778,0.206620078176412,0.272716601911517,115,0.582147047284756,0.719614237997384,0.149538386195984,0.359658452347246,0.720220766618146,0.14541790059927,0.713692858920798,0.14541790059927,0.395482806456751,0.657520104970733,6,2.52399675865502,0.305494159432831,2.25482472041665,2.47782435265748,2.72987285594095,1.93565488779154,0.21038217607853,1.93565488779154,2.07617004740493,2.20435963434632,34,0.940073864994553,0.421035468764035,0.451090843367186,0.873070118602093,1.35674772662906,0.541408650915481,0.527942126566249,0.541408650915481,1.12559278266208,1.67709957455274
"Secondary Energy|Electricity|Gas|w/ CCS",365,0.412776770523549,0.564260068668651,0.0540197464800889,0.158613710109315,0.68472596747799,0.470902392225756,0.767788111671303,0.0582378367478245,0.157876814791192,0.675006811611107,11,0.769538839221738,0.232230614121312,0.634612355479948,0.668753740982264,1.06090019713762,0.857657419607754,0.238066933834694,0.857657419607754,0.984016204399188,1.05115982603276,15,0.690685647707885,0.396700586786771,0.753383175030715,0.811676913364579,0.974798407744403,0.95015897598944,0.604980350833092,0.95015897598944,1.39209097369436,1.48476751338065,18,0.804766987085235,0.0766945806643483,0.746255520531242,0.807113402890066,0.856516980974345,0.650942135931691,0.0924369214014071,0.650942135931691,0.687280812096408,0.762589403222723,28,0.950959830816827,0.572784229580942,0.465548847313563,0.958845170580475,1.39023219517655,0.397077946362902,0.724671817103653,0.397077946362902,0.8189864921919,1.47018901047779,83,0.858035370212579,0.702745513417309,0.351187689199353,0.632594275361892,0.914955563223124,0.352591380273154,1.14985286845972,0.352591380273154,0.672155776494173,1.01150179303793,41,0.171324024753396,0.229050968656614,0.0558363790571909,0.0795466646940568,0.106374811017508,0.0572252336090126,0.172379750448831,0.0572252336090126,0.0831307012097176,0.116263418459058,115,0.0374106157529093,0.240536859942708,0.00216976971300759,0.042296726837413,0.0820889644961094,0.00163834462296432,0.25424782029205,0.00163834462296432,0.0466351600078256,0.0836573086619403,6,0.702998714184586,0.0894206871085941,0.656427595820466,0.669567265727298,0.756851117572501,0.560802211599821,0.0627415597807173,0.560802211599821,0.56622283284228,0.602191381386981,34,0.0980844696584609,0.0384012586941585,0.0642378022043473,0.0823771453623214,0.12863475158675,0.0763448498635803,0.0463618480358891,0.0763448498635803,0.100289381699019,0.17427739978734
"Secondary Energy|Electricity|Coal|w/ CCS",365,0.107292333302338,0.342350735551988,-9.71590688274844e-06,0.0241212799211471,0.145852978002761,0.114353067250281,0.42449452183083,-8.01140179333599e-06,0.0226985255263296,0.149620670680057,11,0.355209082829467,0.646182642092885,-0.236153412080742,0.108371225370176,0.94388174801638,-0.364232685071537,0.684993016121982,-0.364232685071537,0.220593259384111,0.986143290235126,15,0.47288626009963,0.649102457128828,-0.168424031827847,0.826897806634021,1.13988840659881,-0.230302020508656,1.02577697222624,-0.230302020508656,1.23515300781219,1.76295395874586,18,0.284325003678924,0.130816958426475,0.236668058142824,0.307717215285262,0.390780222801449,0.202312892339536,0.115874212054565,0.202312892339536,0.254094405591685,0.310214043677975,28,0.372527141859646,0.325854635856558,0.115410178253206,0.24457427846245,0.637861452762652,0.14064139935001,0.306207498260325,0.14064139935001,0.250172088688433,0.564578359433725,83,0.063018731700653,0.112297886300607,0.0109840312243488,0.0147885760623437,0.0878032606101284,0.0111754446250567,0.20100554293737,0.0111754446250567,0.0142097465716025,0.0808018346044217,41,-0.0427753333059715,0.450823876207682,-0.0201207430177107,0.106989200862214,0.157095590335379,-0.0196709813243929,0.518410061018396,-0.0196709813243929,0.115571640233552,0.15633203537899,115,-0.0131916576172016,0.239556952244192,-0.00353823405154204,-1.94318137654969e-05,0.00394840954869522,-0.00331329694390506,0.294174409408068,-0.00331329694390506,-1.58364204571982e-05,0.00277243597905427,6,0.0700597961917815,0.0154186487723231,0.0570900021618371,0.0687893971628224,0.0780824364406713,0.046226250630982,0.0142716962864216,0.046226250630982,0.0584327781599283,0.0652674346762418,34,0.0576721453643509,0.0194693465289924,0.0437544882108859,0.0532548198015156,0.0818035107747553,0.0559554706549201,0.0300533142776705,0.0559554706549201,0.0661534679180717,0.0973410901000608
